date	borough	n
1	2015-01-01	Bronx	1152
2	2015-01-01	Brooklyn	13261
3	2015-01-01	EWR	1
4	2015-01-01	Manhattan	38144
5	2015-01-01	Queens	5395
6	2015-01-01	Staten Island	54
7	2015-01-01	Unknown	38
8	2015-01-02	Bronx	562
9	2015-01-02	Brooklyn	7437
10	2015-01-02	EWR	0
11	2015-01-02	Manhattan	27867
12	2015-01-02	Queens	4377
13	2015-01-02	Staten Island	23
14	2015-01-02	Unknown	21
15	2015-01-03	Bronx	706
16	2015-01-03	Brooklyn	11078
17	2015-01-03	EWR	0
18	2015-01-03	Manhattan	42167
19	2015-01-03	Queens	5838
20	2015-01-03	Staten Island	22
21	2015-01-03	Unknown	33
22	2015-01-04	Bronx	579
23	2015-01-04	Brooklyn	8473
24	2015-01-04	EWR	0
25	2015-01-04	Manhattan	26306
26	2015-01-04	Queens	6551
27	2015-01-04	Staten Island	16
28	2015-01-04	Unknown	18
29	2015-01-05	Bronx	489
30	2015-01-05	Brooklyn	6543
31	2015-01-05	EWR	1
32	2015-01-05	Manhattan	31036
33	2015-01-05	Queens	5571
34	2015-01-05	Staten Island	19
35	2015-01-05	Unknown	19
36	2015-01-06	Bronx	597
37	2015-01-06	Brooklyn	7085
38	2015-01-06	EWR	0
39	2015-01-06	Manhattan	41485
40	2015-01-06	Queens	4341
41	2015-01-06	Staten Island	13
42	2015-01-06	Unknown	18
43	2015-01-07	Bronx	604
44	2015-01-07	Brooklyn	8851
45	2015-01-07	EWR	0
46	2015-01-07	Manhattan	49607
47	2015-01-07	Queens	4273
48	2015-01-07	Staten Island	22
49	2015-01-07	Unknown	18
50	2015-01-08	Bronx	701
51	2015-01-08	Brooklyn	9348
52	2015-01-08	EWR	1
53	2015-01-08	Manhattan	57947
54	2015-01-08	Queens	4980
55	2015-01-08	Staten Island	17
56	2015-01-08	Unknown	22
57	2015-01-09	Bronx	766
58	2015-01-09	Brooklyn	10048
59	2015-01-09	EWR	0
60	2015-01-09	Manhattan	55779
61	2015-01-09	Queens	5468
62	2015-01-09	Staten Island	37
63	2015-01-09	Unknown	26
64	2015-01-10	Bronx	801
65	2015-01-10	Brooklyn	14464
66	2015-01-10	EWR	1
67	2015-01-10	Manhattan	59628
68	2015-01-10	Queens	5706
69	2015-01-10	Staten Island	25
70	2015-01-10	Unknown	31
71	2015-01-11	Bronx	687
72	2015-01-11	Brooklyn	11503
